date:30/06/2022 12:13:19 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:qos_config | time_taken:0.03931352999999982
date:30/06/2022 12:13:20 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:ACL:list_type | time_taken:0.05167165000000007
date:30/06/2022 12:13:20 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:VLAN:name | time_taken:0.039189579999999946
date:30/06/2022 13:40:29 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:System:stp_mode | time_taken:0.041500744000000145
date:30/06/2022 13:40:29 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Interface:user_config | time_taken:0.04170758299999999
date:30/06/2022 13:40:30 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:DHCP_Relay:vrf | time_taken:0.03928673299999996
date:30/06/2022 13:40:30 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:System:dlog_destination | time_taken:0.038931883000000056
date:30/06/2022 13:40:31 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:VRF:ospf_routers | time_taken:0.04004922600000005
date:30/06/2022 13:40:32 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:System:qos_config | time_taken:0.04755432400000004
date:30/06/2022 13:40:32 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:System:2 | time_taken:0.042305879999999796
date:30/06/2022 13:40:33 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:aclv4_routed_out_cfg_version | time_taken:0.039896288999999974
date:30/06/2022 13:40:33 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:name | time_taken:0.04021134100000001
date:30/06/2022 13:40:34 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:VLAN:id | time_taken:0.046314989999999945
date:30/06/2022 13:40:35 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:VRF:aclv4_control_plane_cfg | time_taken:0.04852584400000004
date:30/06/2022 13:40:35 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Interface:description | time_taken:0.038744791000000056
date:30/06/2022 13:40:36 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:vlan_trunks | time_taken:0.041084255999999986
date:30/06/2022 13:40:36 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:System:stp_enable | time_taken:0.03932105599999991
date:30/06/2022 13:40:37 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:VRF:Radius_Server | time_taken:0.04366124300000007
date:30/06/2022 13:40:38 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:lacp | time_taken:0.04796584000000004
date:30/06/2022 13:40:39 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:System:mirrors | time_taken:0.05902371299999998
date:30/06/2022 13:40:39 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:System:5.5.132.24 | time_taken:0.034219003000000026
date:30/06/2022 13:40:40 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:VLAN:description | time_taken:0.04214710999999993
date:30/06/2022 13:40:41 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:ACL:cfg_aces | time_taken:0.047540903999999884
date:30/06/2022 13:40:41 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:port_access_clients_limit | time_taken:0.04145893299999992
date:30/06/2022 13:40:42 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:System:ntp_config_vrf | time_taken:0.03585899999999986
date:30/06/2022 13:40:42 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:stp_config | time_taken:0.04131361
date:30/06/2022 13:40:43 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:System:mstp_config_revision | time_taken:0.04009827499999985
date:30/06/2022 13:40:44 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:DHCP_Relay:ipv4_ucast_server | time_taken:0.04634480199999991
date:30/06/2022 13:40:44 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:ACL:name | time_taken:0.047837675000000024
date:30/06/2022 13:40:45 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:loop_protect_enable | time_taken:0.04101552799999997
date:30/06/2022 13:40:45 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:VRF:aclv4_control_plane_cfg_version | time_taken:0.034844549
date:30/06/2022 13:40:46 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:interfaces | time_taken:0.0398768089999999
date:30/06/2022 13:40:46 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:description | time_taken:0.03963000900000013
date:30/06/2022 13:40:47 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:routing | time_taken:0.0691930999999999
date:30/06/2022 13:40:48 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:vlan_tag | time_taken:0.040387159000000006
date:30/06/2022 13:40:48 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:VRF:Tacacs_Server | time_taken:0.040533669999999855
date:30/06/2022 13:40:49 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:loop_protect_vlan | time_taken:0.042237246000000006
date:30/06/2022 13:40:49 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:vrf | time_taken:0.03945613300000006
